CSV File,Columns containing all necessary fragments for ID,Columns containing fragments where atleast one fragment must be observed for confirmation,Run DDA,Run AIF (Ignore this column if you don't have AIF data),By Class only - total C:DB,Polarity,Adduct,Notes
MSDIAL_Cer_EBDS_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_Cer_EBDS
MSDIAL_Cer_EODS_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_Cer_EODS
MSDIAL_Cer_EOS_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_Cer_EOS
MSDIAL_Cer_NDS_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_Cer_NDS
MSDIAL_Cer_NP_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_Cer_NP
MSDIAL_Cer_NS_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_Cer_NS
MSDIAL_DGDG_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_DGDG
MSDIAL_EtherDGDG_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_EtherDGDG
MSDIAL_EtherLPC_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_EtherLPC
MSDIAL_EtherMGDG_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_EtherMGDG
MSDIAL_EtherOxPC_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_EtherOxPC
MSDIAL_EtherPC_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_EtherPC
MSDIAL_Hex2Cer_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_Hex2Cer
MSDIAL_Hex3Cer_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_Hex3Cer
MSDIAL_HexCer_AP_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_HexCer_AP
MSDIAL_HexCer_EOS_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_HexCer_EOS
MSDIAL_HexCer_HDS_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_HexCer_HDS
MSDIAL_HexCer_HS_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_HexCer_HS
MSDIAL_HexCer_NDS_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_HexCer_NDS
MSDIAL_HexCer_NS_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_HexCer_NS
MSDIAL_LPC_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_LPC
MSDIAL_MGDG_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_MGDG
MSDIAL_OxPC_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_OxPC
MSDIAL_PC_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_PC
MSDIAL_SHex_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_SHex
MSDIAL_SM_[M+CH3COO]-.csv,3;4;5,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_SM
MSDIAL_Vitamin_E_[M+CH3COO]-.csv,3;4,,FALSE,FALSE,TRUE,Neg,[M+CH3COO]-,MSDIAL_Vitamin_E
AcCa_H.csv,2;6,,TRUE,TRUE,FALSE,Pos,[M+H]+,Acylcarnitine
CerP_H.csv,2;3,4;5;6;7,TRUE,FALSE,FALSE,Pos,[M+H]+,Ceramide-1-phosphate
DGTS_H.csv,3;6;7,,TRUE,FALSE,FALSE,Pos,[M+H]+,Diacylglyceryltrimethylhomo-Ser
LDGTS_H.csv,4,,TRUE,TRUE,FALSE,Pos,[M+H]+,Lysodiacylglyceryltrimethylhomo-Ser
LPC_H.csv,5,,TRUE,TRUE,FALSE,Pos,[M+H]+,Lysophosphatidylcholine
LPE_H.csv,3,,TRUE,TRUE,FALSE,Pos,[M+H]+,Lysophosphatidylethanolamine
MGDG_H.csv,3;5,,FALSE,FALSE,FALSE,Pos,[M+H]+,Beta: Monogalactosyldiacylglycerol; 
OxLPC_H.csv,5,,TRUE,TRUE,FALSE,Pos,[M+H]+,Oxidized lysophosphatidylcholine
OxLPE_H.csv,3,,TRUE,TRUE,FALSE,Pos,[M+H]+,Oxidized lysophosphatidylethanolamine
OxPC_H.csv,8,4;5,FALSE,FALSE,FALSE,Pos,[M+H]+,Oxidized phosphatidylcholine
OxPC_H_Class.csv,4,,FALSE,FALSE,TRUE,Pos,[M+H]+,Oxidized phosphatidylcholine
OxPE_H.csv,3,4;5,FALSE,FALSE,FALSE,Pos,[M+H]+,Oxidized phosphatidylethanolamine
OxPE_H_Class.csv,3,,FALSE,FALSE,TRUE,Pos,[M+H]+,Oxidized phosphatidylethanolamine
PA_H.csv,3,4;5,TRUE,TRUE,FALSE,Pos,[M+H]+,Phosphatidic acid
PA_H_Class.csv,3,,TRUE,FALSE,TRUE,Pos,[M+H]+,Phosphatidic acid
PC_H.csv,2;12,8;9,TRUE,TRUE,FALSE,Pos,[M+H]+,Phosphatidylcholine
PC_H_Class.csv,4,,FALSE,FALSE,TRUE,Pos,[M+H]+,Phosphatidylcholine
PC_H_LibAllTails.csv,2;10,8;9,FALSE,FALSE,FALSE,Pos,[M+H]+,Phosphatidylcholine: Every possible chain (large library)
PE_H.csv,3,4;5,TRUE,TRUE,FALSE,Pos,[M+H]+,Phosphatidylethanolamine
PE_H_Class.csv,3,,TRUE,TRUE,TRUE,Pos,[M+H]+,Phosphatidylethanolamine
PG_H.csv,4;5,,TRUE,TRUE,FALSE,Pos,[M+H]+,Phosphatidylglycerol
PlasmanylLPC_H.csv,2;6,,TRUE,TRUE,FALSE,Pos,[M+H]+,Plasmanyl lysophosphatidylcholine
PlasmanylLPE_H.csv,3,,TRUE,TRUE,FALSE,Pos,[M+H]+,Plasmanyl lysophosphatidylethanolamine
PlasmanylPC_H.csv,2;11,4;6,TRUE,TRUE,FALSE,Pos,[M+H]+,Plasmanyl phosphatidylcholine
PlasmanylPC_H_Class.csv,4,,FALSE,FALSE,TRUE,Pos,[M+H]+,Plasmanyl phosphatidylcholine
PlasmanylPE_H.csv,3;4,,TRUE,TRUE,FALSE,Pos,[M+H]+,Plasmanyl phosphatidylethanolamine
PlasmanylPE_H_Class.csv,3,,TRUE,FALSE,TRUE,Pos,[M+H]+,Plasmanyl phosphatidylethanolamine
PlasmanylPS_H.csv,3;4,,TRUE,TRUE,FALSE,Pos,[M+H]+,Plasmanyl phosphatidylserine
PlasmanylPS_H_Class.csv,3,,TRUE,FALSE,TRUE,Pos,[M+H]+,Plasmanyl phosphatidylserine
PlasmenylLPC_H.csv,3,,TRUE,TRUE,FALSE,Pos,[M+H]+,Plasmenyl lysophosphatidylcholine
PlasmenylLPE_H.csv,3,,TRUE,TRUE,FALSE,Pos,[M+H]+,Plasmenyl lysophosphatidylethanolamine
PlasmenylPC_H.csv,2;11,4;6,TRUE,TRUE,FALSE,Pos,[M+H]+,Plasmenyl phosphatidylcholine
PlasmenylPC_H_Class.csv,4,,FALSE,FALSE,TRUE,Pos,[M+H]+,Plasmenyl phosphatidylcholine
PlasmenylPE_H.csv,3;6,,TRUE,TRUE,FALSE,Pos,[M+H]+,Plasmenyl phosphatidylethanolamine
PlasmenylPE_H_Class.csv,3,,TRUE,FALSE,TRUE,Pos,[M+H]+,Plasmenyl phosphatidylethanolamine
PlasmenylPS_H.csv,3;4,,TRUE,TRUE,FALSE,Pos,[M+H]+,Plasmenyl phosphatidylserine
PlasmenylPS_H_Class.csv,3,,TRUE,FALSE,TRUE,Pos,[M+H]+,Plasmenyl phosphatidylserine
PS_H.csv,3,4;5,TRUE,TRUE,FALSE,Pos,[M+H]+,Phosphatidylserine
PS_H_Class.csv,3,,TRUE,FALSE,TRUE,Pos,[M+H]+,Phosphatidylserine
SM_H.csv,2;6;8,,TRUE,TRUE,FALSE,Pos,[M+H]+,Sphingomyelin
SM_H_Class.csv,6,,FALSE,FALSE,TRUE,Pos,[M+H]+,Sphingomyelin
So_H.csv,4;5,,TRUE,TRUE,FALSE,Pos,[M+H]+,Sphingosine
Sulf_H.csv,3;10,,TRUE,TRUE,FALSE,Pos,[M+H]+,Sulfatide
Cer_H.csv,3;6,,FALSE,FALSE,FALSE,Pos,[M+H]+,Ceramide
Cer_NDS_H.csv,6,5;8,TRUE,TRUE,FALSE,Pos,[M+H]+,Backbone: Dihydrosphingosine Fatty acid: non-hydroxy fatty acid
Cer_NS_H.csv,6,5;8,TRUE,TRUE,FALSE,Pos,[M+H]+,"Ceramide (Nonhydroxyacyl sphingosine) (duplicate, MS-DIAL version)"
GlcCer_NDS_H.csv,7,6;9,TRUE,TRUE,FALSE,Pos,[M+H]+,glucosyl-ceramide Backbone: Dihydrosphingosine Fatty acid: non-hydroxy fatty acid
GlcCer_NS_H.csv,7,6;9,TRUE,TRUE,FALSE,Pos,[M+H]+,Glucosyl-Nonhydroxyacyl sphingosine
DGTS_H_Class.csv,2;3,,TRUE,FALSE,TRUE,Pos,[M+H]+,Diacylglyceryltrimethylhomo-Ser
SHexCer_H.csv,4;10,,FALSE,FALSE,FALSE,Pos,[M+H]+,Sulfatide
MSDIAL_AHexCer_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_AHexCer
MSDIAL_ASM_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_ASM
MSDIAL_Cer_AP_[M+H]+.csv,3;4;5,,FALSE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_Cer_AP
MSDIAL_Cer_EOS_[M+H]+.csv,3;4;5,,FALSE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_Cer_EOS
MSDIAL_Cer_NDS_[M+H]+.csv,3;4;5,,FALSE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_Cer_NDS
MSDIAL_Cer_NS_[M+H]+.csv,3;4;5,,FALSE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_Cer_NS
MSDIAL_CerP_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_CerP
MSDIAL_CoQ_[M+H]+.csv,3;4,,FALSE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_CoQ
MSDIAL_DGCC_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_DGCC
MSDIAL_DGTS_[M+H]+.csv,3;4;5,,FALSE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_DGTS
MSDIAL_DHSph_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_DHSph
MSDIAL_EtherLPC_[M+H]+.csv,3;4;5,,FALSE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_EtherLPC
MSDIAL_EtherLPE_[M+H]+.csv,3;4;5,,FALSE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_EtherLPE
MSDIAL_EtherPC_[M+H]+.csv,3;4;5,,FALSE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_EtherPC
MSDIAL_EtherPE_[M+H]+.csv,3;4;5,,FALSE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_EtherPE
MSDIAL_Hex2Cer_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_Hex2Cer
MSDIAL_Hex3Cer_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_Hex3Cer
MSDIAL_HexCer_AP_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_HexCer_AP
MSDIAL_HexCer_EOS_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_HexCer_EOS
MSDIAL_HexCer_HDS_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_HexCer_HDS
MSDIAL_HexCer_HS_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_HexCer_HS
MSDIAL_HexCer_NDS_[M+H]+.csv,3;4;5,,FALSE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_HexCer_NDS
MSDIAL_HexCer_NS_[M+H]+.csv,3;4;5,,FALSE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_HexCer_NS
MSDIAL_LDGCC_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_LDGCC
MSDIAL_LDGTS_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_LDGTS
MSDIAL_LPC_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_LPC
MSDIAL_LPE_[M+H]+.csv,3;4,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_LPE
MSDIAL_NAE_[M+H]+.csv,3,,FALSE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_NAE
MSDIAL_NAGly_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_NAGly
MSDIAL_NAOrn_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_NAOrn
MSDIAL_PC_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_PC
MSDIAL_PE_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_PE
MSDIAL_PhytoSph_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_PhytoSph
MSDIAL_PI_Cer_[M+H]+.csv,3;4,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_PI_Cer
MSDIAL_PS_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_PS
MSDIAL_SHexCer_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_SHexCer
MSDIAL_SL_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_SL
MSDIAL_SM_[M+H]+.csv,3;4;5,,FALSE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_SM
MSDIAL_Sph_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_Sph
MSDIAL_VAE_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_VAE
MSDIAL_Vitamin_D_[M+H]+.csv,3;4;5,,TRUE,FALSE,TRUE,Pos,[M+H]+,MSDIAL_Vitamin_D
DGDG_neg_HCO2.csv,3;4,,TRUE,FALSE,FALSE,Neg,[M+HCO2]-,Digalactosyldiacylglycerol
LPC_neg_HCO2.csv,3;9,,TRUE,FALSE,FALSE,Neg,[M+HCO2]-,Lysophosphatidylcholine
MGDG_neg_HCO2.csv,3;4,,TRUE,FALSE,FALSE,Neg,[M+HCO2]-,Monogalactosyldiacylglycerol
OxLPC_neg_CHO2.csv,3;9,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Oxidized lysophosphatidylcholine
OxPC_neg_CHO2.csv,10;11,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Oxidized phosphatidylcholine
PC_neg_CHO2.csv,10;11,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Phosphatidylcholine
PlasmanylLPC_neg_CHO2.csv,3,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Plasmanyl lysophosphatidylcholine
PlasmanylPC_neg_CHO2.csv,3;9,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Plasmanyl phosphatidylcholine
PlasmenylLPC_neg_CHO2.csv,3,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Plasmenyl lysophosphatidylcholine
PlasmenylPC_neg_CHO2.csv,3;9,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Plasmenyl phosphatidylcholine
SM_neg_HCO2.csv,3;4;5,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Sphingomyelin
SM_neg_HCO2_Class.csv,3;4,,TRUE,FALSE,TRUE,Neg,[M+HCO2]-,Sphingomyelin
ether_OxPC_neg_HCO2_MSDIAL.csv,2;5,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,ether-oxidized phosphatidylcholine
OxPC_neg_HCO2_MSDIAL.csv,3;7,4;5;6,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,oxidized phosphatidylcholine
Cer_neg_HCO2.csv,3;5,,FALSE,FALSE,FALSE,Neg,[M+HCO2]-,Ceramide
Cer_ADS_neg_HCO2.csv,3;14,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Backbone: Dihydrosphingosine Fatty acid: a-hydroxy fatty acid
Cer_AP_neg_HCO2.csv,3;5,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Backbone: Phytosphingosine Fatty acid: a-hydroxy fatty acid
Cer_AS_neg_HCO2.csv,3,7;15,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Backbone: Sphingosine Fatty acid: a-hydroxy fatty acid
Cer_BDS_neg_HCO2.csv,3;4,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Ceramide beta-hydroxy fatty acid-dihydrosphingosine
Cer_BS_neg_HCO2.csv,3;5,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Ceramide beta-hydroxy fatty acid-sphingosine
Cer_EODS_neg_HCO2.csv,3;6,5;7;8,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Backbone: Dihydrosphingosine Fatty acid: esterified w-hydroxy fatty acid
Cer_EOS_neg_HCO2.csv,3;6,5;7;8,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Backbone: Sphingosine Fatty acid: esterified w-hydroxy fatty acid
Cer_NDS_neg_HCO2.csv,3;8,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Backbone: Dihydrosphingosine Fatty acid: non-hydroxy fatty acid
Cer_NP_neg_HCO2.csv,3;6;7,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Backbone: Phytosphingosine Fatty acid: Fatty acid: non-hydroxy fatty acid
Cer_NS_neg_HCO2.csv,3;8,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,"Ceramide (Nonhydroxyacyl sphingosine) (duplicate, MS-DIAL version)"
GlcCer_AP_neg_HCO2.csv,3;5,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,glucosyl-ceramide Backbone: Phytosphingosine Fatty acid: a-hydroxy fatty acid
GlcCer_NDS_neg_HCO2.csv,3;4;6,,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,glucosyl-ceramide Backbone: Dihydrosphingosine Fatty acid: non-hydroxy fatty acid
GlcCer_NS_neg_HCO2.csv,3;4,5;6;7,TRUE,TRUE,FALSE,Neg,[M+HCO2]-,Glucosyl-Nonhydroxyacyl sphingosine
DGDG_neg_HCO2_Class.csv,5,,TRUE,FALSE,TRUE,Neg,[M+HCO2]-,Digalactosyldiacylglycerol
MSDIAL_AHexBRS_[M+HCOO]-.csv,3;4,,TRUE,FALSE,TRUE,Neg,[M+HCOO]-,MSDIAL_AHexBRS
MSDIAL_AHexCAS_[M+HCOO]-.csv,3;4,,TRUE,FALSE,TRUE,Neg,[M+HCOO]-,MSDIAL_AHexCAS
MSDIAL_AHexCer_[M+HCOO]-.csv,3;4;5,,TRUE,FALSE,TRUE,Neg,[M+HCOO]-,MSDIAL_AHexCer
MSDIAL_AHexCS_[M+HCOO]-.csv,3;4,,TRUE,FALSE,TRUE,Neg,[M+HCOO]-,MSDIAL_AHexCS
MSDIAL_AHexSIS_[M+HCOO]-.csv,3;4,,TRUE,FALSE,TRUE,Neg,[M+HCOO]-,MSDIAL_AHexSIS
MSDIAL_AHexSTS_[M+HCOO]-.csv,3;4,,TRUE,FALSE,TRUE,Neg,[M+HCOO]-,MSDIAL_AHexSTS
