"row.ID","row.m.z","row.retention.time","All.identity.elements","posIEB_DD_2.mzXML.Peak.height","posIEB_DD_3.mzXML.Peak.height","posIEB_DD_4.mzXML.Peak.height","posIEB_DD_6.mzXML.Peak.height","pos_DD_1.mzXML.Peak.height","pos_DD_3.mzXML.Peak.height","posIEB_DD_1.mzXML.Peak.height","posIEB_DD_5.mzXML.Peak.height","pos_DD_4.mzXML.Peak.height","pos_DD_5.mzXML.Peak.height","pos_DD_2.mzXML.Peak.height","pos_DD_6.mzXML.Peak.height","NA.","ID_Ranked","Intensity_Ranked","Class_At_Max_Intensity","Adduct_At_Max_Intensity","Only_One_Class","Molecular","Adducts Confirmed by MS/MS"
52,690.618799845378,13.3603736111111,NA,205037742.285714,205811980.666667,209472316,207039665.142857,204818016.47619,213708454.238095,197532283.095238,218472868.52381,202395610.285714,200927965.428571,207336150,194124655.52381,NA,"1_CE(20:4)+NH4","54205524.6","CE","[M+NH4]+","Yes","CE(20:4)","[M+NH4]+"
202,688.602940877279,12.7759430555556,NA,25637134.5059524,25546246.922619,30207170.452381,28676275.9107143,25214816.7619048,30338785.7380952,25433144.8869048,26226373.2440476,26369961.2261905,25581739.5714286,24914486.4047619,24274538.0238095,NA,"1_CE(20:5)+NH4","4719853.65","CE","[M+NH4]+","Yes","CE(20:5)","[M+NH4]+"
224,714.618695576986,13.03635,NA,21978639.9107143,21413859.5297619,22702993.1071429,22736025.1607143,22409712.4732143,22000461.764881,20273515.0863095,20411920.6785714,22288768.1309524,20875048.8333333,20686566.7008929,19159752.9285714,NA,"1_CE(22:6)+NH4","6924759.84","CE","[M+NH4]+","Yes","CE(22:6)","[M+NH4]+"
784,652.659222920736,11.7415416666667,NA,3304391.69642857,3494962.21279762,3400066.25595238,3374659.90029762,3306078.30059524,3565761.20386905,3358111.51488095,3508545.19196429,3403161.16220238,3526671.82440476,3544097.76934524,3432007.85416667,NA,"1_Cer-NDS(d18:0/24:0)+H","1309348.177","Cer-NDS","[M+H]+","Yes","Cer-NDS(d18:0/24:0)","[M+H]+"
1490,638.644266764323,11.3302430555556,NA,1266035.85863095,1283783.62574405,1205072.98511905,1271677.6860119,1335496.03497024,1339158.15625,1302068.4389881,1317858.3578869,1362790.11681548,1348434.12797619,1283109.90327381,1346458.72470238,NA,"1_Cer-NDS(d18:0/23:0)+H","475960.56","Cer-NDS","[M+H]+","Yes","Cer-NDS(d18:0/23:0)","[M+H]+"
148,650.644839200107,11.4582560606061,NA,44384035.0952381,45552198.9523809,44523030.2857143,44223293.1666667,44800629.1666667,44967031.3809524,45199792.452381,45310374.8333333,0,47387008.4523809,45147914.0714286,47264338.1428571,NA,"1_Cer-NS(d18:1/24:0)+H | 1_Cer-NS(d19:1/23:0)+H | 1_Cer-NS(d20:1/22:0)+H | 1_Cer-NS(d17:1/25:0)+H | 1_Cer-NS(d16:1/26:0)+H","16381777.32 | 3641801.907 | 3474999.507 | 3465914.286 | 3448645.75","Cer-NS","[M+H]+","Yes","Cer-NS(d18:1/24:0)","[M+H]+"
365,622.613639831543,10.5825819444444,NA,10446915.8928571,10213601.0863095,10127754.3869048,10260811.25,10405499.6785714,10737013.75,10063336.8779762,10273084.6190476,10228079.8958333,9858432.76190476,10626895.4166667,10238097.5416667,NA,"1_Cer-NS(d18:1/22:0)+H | 1_Cer-NS(d16:1/24:0)+H | 1_Cer-NS(d17:1/23:0)+H","2847239.0037 | 1437271.7547 | 977971.5569","Cer-NS","[M+H]+","Yes","Cer-NS(d18:1/22:0)","[M+H]+"
438,636.629035949707,11.0264486111111,NA,8083452.25595238,7947764.95238095,7508108.8422619,7694277.33035714,8114495.47321429,7911661.74107143,8139109.20833333,8062065.97023809,7864273.94642857,8108784.86309524,7648689.66369048,7843585.33035714,NA,"1_Cer-NS(d18:1/23:0)+H | 1_Cer-NS(d17:1/24:0)+H | 1_Cer-NS(d16:1/25:0)+H","1719741.279 | 750042.399 | 521574.8119","Cer-NS","[M+H]+","Yes","Cer-NS(d18:1/23:0)","[M+H]+"
494,648.629307047526,10.5096444444444,NA,6813404.85119048,8834345,8130788.5,7854622.23214286,6897584.98809524,7041040.9077381,8123532,7147787.10119048,10272229,6892887.5,7073741.45386905,6487241.66666667,NA,"1_Cer-NS(d18:1/24:1)+H | 1_Cer-NS(d18:2/24:0)+H","1570292.791 | 542722.78","Cer-NS","[M+H]+","Yes","Cer-NS(d18:1/24:1)","[M+H]+"
712,664.660265604655,11.6949138888889,NA,3821361.35119048,3971841.71428571,3976187.1577381,3902588.05357143,4004310.7953869,4091071.91443452,4366526.01041667,4532225.80357143,4156756.67261905,4095865.37202381,3921051.76711309,4273953.86755952,NA,"1_Cer-NS(d19:1/24:0)+H | 1_Cer-NS(d18:1/25:0)+H | 1_Cer-NS(d20:1/23:0)+H","1813883.393 | 1028658.037 | 553898.164","Cer-NS","[M+H]+","Yes","Cer-NS(d19:1/24:0)","[M+H]+"
1092,620.598070780436,9.69950555555556,NA,2040465.55357143,1978301.00297619,1900781.00892857,1688831.35863095,1783250.02083333,1796557.26785714,1978283.79017857,1790779.04166667,1838947.73214286,1805508.6264881,1848882.09598214,1828008.04761905,NA,"1_Cer-NS(d18:2/22:0)+H | 1_Cer-NS(d18:1/22:1)+H | 1_Cer-NS(d17:2/23:0)+H","622613.204 | 213253.402 | 199963.921","Cer-NS","[M+H]+","Yes","Cer-NS(d18:2/22:0)","[M+H]+"
1142,634.613438924154,10.1810402777778,NA,1914871.26785714,1906384.09821429,1976753.88988095,2248313.94940476,1912073.32142857,1972329.66517857,1863230.47172619,1977763.77827381,1892647.54017857,1901275.30208333,1875506.92113095,1792446.49553571,NA,"1_Cer-NS(d18:2/23:0)+H | 1_Cer-NS(d17:1/24:1)+H | 1_Cer-NS(d18:1/23:1)+H","747654.711 | 255079.389 | 227414.743","Cer-NS","[M+H]+","Yes","Cer-NS(d18:2/23:0)","[M+H]+"
1340,646.61402130127,9.6389875,NA,1496200.47172619,1550185.63095238,1336724.82514881,1354072.56696429,1432756.13988095,1491069.65178571,1570359.40327381,1361924.28125,1455584.07291667,1564422.01785714,1530754.44196429,1422715.74181548,NA,"1_Cer-NS(d18:2/24:1)+H | 1_Cer-NS(d18:1/24:2)+H","489036.381 | 323243.93","Cer-NS","[M+H]+","Yes","Cer-NS(d18:2/24:1)","[M+H]+"
1448,594.582242329915,9.6045,NA,1320656.17857143,1370046.75297619,1254923.26897321,1338615.83705357,1383399.47247024,1409681.67113095,1371884.65252976,1360856.32738095,1449464.26860119,1385596.81026786,1437063.93005952,1415689.57849702,NA,"1_Cer-NS(d18:1/20:0)+H | 1_Cer-NS(d16:1/22:0)+H","244820.935 | 239148.644","Cer-NS","[M+H]+","Yes","Cer-NS(d18:1/20:0)","[M+H]+"
9098,648.62921885955,10.6472958333333,NA,9013676,7113144.51190476,7094904.13095238,7060408.5,7351699.13095238,7219697.96428571,7052940.48809524,7201344.98809524,7291703.20238095,7224312.5,7088303.94047619,6766283.10119048,NA,"1_Cer-NS(d18:2/24:0)+H | 1_Cer-NS(d18:1/24:1)+H","1521875.137 | 1016370.406","Cer-NS","[M+H]+","Yes","Cer-NS(d18:2/24:0)","[M+H]+"
16549,664.660323837835,11.8534333333333,NA,3307004.5,3416466.75,3500533,3371094.5,3723020.5,3821017.75,3554014.75,2926812.89880952,0,2920511.51785714,3638089,2905593.45833333,NA,"1_Cer-NS(d18:1/25:0)+H | 1_Cer-NS(d19:1/24:0)+H | 1_Cer-NS(d20:1/23:0)+H","780090.307 | 416640.18 | 305330.434","Cer-NS","[M+H]+","Yes","Cer-NS(d18:1/25:0)","[M+H]+"
207,880.717440287272,12.4386694444444,NA,24443713.5,24591410.3690476,23478005.2380952,24134470.1994048,23507532,23556278.3452381,23348332.452381,23118698.8809524,23063934.0892857,23528555.6428571,23877024.297619,22755791.6547619,NA,"1_Co(Q10)+NH4","4294725","CoQ","[M+NH4]+","Yes","Co(Q10)","[M+NH4]+"
249,610.541231791178,8.40985138888889,NA,18409853.9285714,18474837.9761905,19974895.2380952,21721710.2142857,21068060.0952381,21318145.547619,18166618.7619048,20237335.6428571,20768681.5952381,19873572,20253434.547619,20278872.5238095,NA,"1_DG(16:0_18:2)+NH4 | 1_DG(16:1_18:1)+NH4","3899644.404 | 556080.897","DG","[M+NH4]+","Yes","DG(16:0_18:2)","[M+NH4]+"
274,612.556299845378,9.271325,NA,15589823.6279762,16448390.2142857,17279655.7261905,18997189.3809524,17117974.8571429,17520576.25,14620377.8452381,15710086.1904762,17467103.0059524,15573098.3095238,16583559.6428571,15427258.9761905,NA,"1_DG(16:0_18:1)+NH4 | 1_DG(16:1_18:0)+NH4","1270399.8666 | 19042.233","DG","[M+NH4]+","Yes","DG(16:0_18:1)","[M+NH4]+"
1149,584.524943033854,8.19341388888889,NA,1904336.41666667,2401369.69047619,2401198.85714286,2536207.36904762,2491036.22619048,2376041.41071429,1942999.89583333,2301931.08035714,2426484.36011905,2266976.42559524,2511281.88392857,2076645.64285714,NA,"1_DG(16:0_16:1)+NH4 | 1_DG(14:0_18:1)+NH4","235869.811 | 230115.0957","DG","[M+NH4]+","Yes","DG(16:0_16:1)","[M+NH4]+"
1044,640.587313334147,10.2582944444444,NA,2161832.28869048,2152054.2797619,2401828.33184524,2737033.49404762,2309839.18154762,2344540.41666667,2087315.20833333,2408941.10267857,2530211.39583333,2397394.19345238,2394140.31845238,2714658.97767857,NA,"1_DG(18:0_18:1)+NH4 | 1_DG(16:0_20:1)+NH4","508893.6867 | 11259.198","DG","[M+NH4]+","Yes","DG(18:0_18:1)","[M+NH4]+"
172,636.556518554688,8.46294583333333,NA,31382912.8095238,32898988.0952381,33401069.1190476,37491019.0833333,35170880.7380952,37800623.5238095,32999128.6071429,34664221.7857143,36895593.3690476,34497980.5714286,34375145.4464286,37023629.1190476,NA,"1_DG(18:1_18:2)+NH4 | 1_DG(16:1_20:2)+NH4 | 1_DG(18:0_18:3)+NH4","5043137.845 | 21696.766 | 13240.13","DG","[M+NH4]+","Yes","DG(18:1_18:2)","[M+NH4]+"
252,638.572052001953,9.32200277777778,NA,18173754.6785714,17684393.7142857,18677035.2142857,20420513.3333333,18411908.3452381,19165486.9047619,18213788.0238095,18508612.8809524,18726356.3095238,18734355.5357143,19407420.7023809,18009602.0416667,NA,"1_DG(18:1_18:1)+NH4 | 1_DG(16:0_20:2)+NH4 | 1_DG(18:0_18:2)+NH4 | 1_DG(16:1_20:1)+NH4","1927571.179 | 29677.6442 | 19912.833 | 6944.257","DG","[M+NH4]+","Yes","DG(18:1_18:1)","[M+NH4]+"
609,660.556510925293,8.1959625,NA,4938196.15178571,5046156.45833333,5595849.25595238,5259918.31547619,5168420.33928571,5080603.41071429,5278358.64285714,5155031.71428571,5237516.14880952,4823364.91666667,5125689.29761905,4777699.38095238,NA,"1_DG(18:1_20:4)+NH4 | 1_DG(18:2_20:3)+NH4 | 1_DG(16:0_22:5)+NH4","910954.833 | 71040.2101 | 59158.404","DG","[M+NH4]+","Yes","DG(18:1_20:4)","[M+NH4]+"
1175,634.540621902003,7.81508888888889,NA,1839920.54166667,2397727,1877239.29761905,2080757.82738095,1796933.80357143,1786799.1547619,1867654.875,1827753.22321429,1796824.44047619,1909568.96130952,1966353.77380952,1701285.3452381,NA,"1_DG(18:1_18:3)+NH4 | 1_DG(18:2_18:2)+NH4","143396.44 | 112628.8563","DG","[M+NH4]+","Yes","DG(18:1_18:3)","[M+NH4]+"
354,634.540835062663,7.5842375,NA,11018483.3214286,11455854.7380952,11373415.1071429,10447579.952381,10231478.797619,11073528.5238095,9925209.72619048,10624664.9761905,10074948.2857143,9856330.80952381,10213142.797619,9527406.10714286,NA,"1_DG(18:2_18:2)+NH4 | 1_DG(18:1_18:3)+NH4 | 1_DG(16:1_20:3)+NH4","1628194.84 | 229768.3119 | 25194.0835","DG","[M+NH4]+","Yes","DG(18:2_18:2)","[M+NH4]+"
626,812.697995503744,10.8225680555556,NA,4609704.48511905,4836615.14136905,4342731.24702381,4676145.71875,4999454.36458333,5075491.60491071,4489577.83184524,5049071.68973214,4526068.87127976,4873429.23809524,4822286.4985119,4915685.44494048,NA,"1_HexCer-NS(d18:1/24:0)+H","1222090.42","HexCer-NS","[M+H]+","Yes","HexCer-NS(d18:1/24:0)","[M+H]+"
878,810.682370800993,9.81834305555556,NA,2772038.96577381,2861003.04464286,2718274.14285714,2943940.05357143,2678043.01041667,2632332.54613095,2649687.60119048,2588424.70535714,2599475.11011905,2664942.97916667,3485435.5,2537499.24255952,NA,"1_HexCer-NS(d18:1/24:1)+H","1274722.429","HexCer-NS","[M+H]+","Yes","HexCer-NS(d18:1/24:1)","[M+H]+"
1123,700.57310740153,6.51482638888889,NA,1978969.51488095,1985798.76190476,1996576.39285714,1997382.48809524,1670587.86011905,1890237.26041667,1688563.33928571,1991408.95238095,1856208.9077381,1881164.14583333,1768854.13988095,1857713.45089286,NA,"1_HexCer-NS(d18:1/16:0)+H","594067.787","HexCer-NS","[M+H]+","Yes","HexCer-NS(d18:1/16:0)","[M+H]+"
1201,798.682444254557,10.3831319444444,NA,1772832.19419643,1833127.39434524,1785231.67261905,1990100.29613095,1792879.21875,1961683.85565476,1803603.75297619,1867022.29910714,1842264.80059524,1774188.12053571,1888788.59375,1802250.18452381,NA,"1_HexCer-NS(d18:1/23:0)+H | 1_HexCer-NS(d17:1/24:0)+H | 1_HexCer-NS(d19:1/22:0)+H","799540.08 | 326422.2904 | 277719.657","HexCer-NS","[M+H]+","Yes","HexCer-NS(d18:1/23:0)","[M+H]+"
189,468.30845896403,0.634563888888889,NA,28851216.2380952,28256157.9761905,28567906.1428571,28863216.3809524,31292243.1190476,32303142.1547619,29897940.5714286,29788941.5357143,30809270.1071429,30232859.8333333,31053413.7142857,30619672.0714286,NA,"1_LPC(14:0)+H | 3_MSDIAL_LPC 14:0-SN1;[M+H]+;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P | 3_MSDIAL_LPC 14:0-SN2;[M+H]+;CCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;VXUOFDJKYGDUJI-UHFFFAOYNA-N;C22H46NO7P","13403539.14 | 13036566.1 | 8753372.1","LPC","[M+H]+","No","LPC(14:0)","[M+H]+"
254,482.324462890625,0.758841666666667,NA,17930473.3095238,19600080.9047619,18378121.8333333,17782239.8333333,19813399.0119048,20346758.8571429,19484916.6785714,19917529.4761905,19493918.0714286,19971114.1428571,19436807.1190476,20307148.6190476,NA,"1_LPC(15:0)+H | 3_MSDIAL_LPC 15:0-SN1;[M+H]+;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P | 3_MSDIAL_LPC 15:0-SN2;[M+H]+;CCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;RJZVWDTYEWCUAR-UHFFFAOYNA-N;C23H48NO7P","8158892.735 | 7948668.3 | 5587913.3","LPC","[M+H]+","No","LPC(15:0)","[M+H]+"
653,480.309480031331,1.05731944444444,NA,4299621.08630952,4360365.28869048,4312351.45238095,3993875.28571429,4626140.33333333,4380538.19047619,4332926.61904762,4196798.87202381,4409737.88690476,4389158.04166667,4397890.23809524,4219493.18452381,NA,"1_LPC(15:1)+H | 3_MSDIAL_LPC 15:1-SN1;[M+H]+;CCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SUCJIOBGMPMVBJ-KTKRTIGZNA-N;C23H46NO7P | 1_LPE(18:1)+H | 3_MSDIAL_LPE 18:1;[M+H]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(=O)OCCN;PYVRVRFVLRNJLY-KTKRTIGZNA-N;C23H46NO7P | 3_MSDIAL_LPC 15:1-SN2;[M+H]+;CCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SUCJIOBGMPMVBJ-KTKRTIGZNA-N;C23H46NO7P","2132798.36 | 1589055.52 | 682838.892 | 639704.74 | 345143.52","LPC","[M+H]+","No","LPC(15:1)","[M+H]+"
6,496.340124766032,0.940172222222222,NA,1095506800.7619,1146481697.52381,1068532166.09524,1067747574.85714,1109157123.04762,1164306416.7619,1074880734.47619,1138478009.90476,1132688636.95238,1168496158.47619,1130492900.57143,1129802998.85714,NA,"1_LPC(16:0)+H | 3_MSDIAL_LPC 16:0-SN1;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P | 3_MSDIAL_LPC 16:0-SN2;[M+H]+;CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;ASWBNKHCZGQVJV-UHFFFAOYNA-N;C24H50NO7P","474347115.1 | 461133420 | 296249420","LPC","[M+H]+","No","LPC(16:0)","[M+H]+|[M+Na]+"
134,494.324306488037,0.678548611111111,NA,51881500.3333333,55202381.4761905,52122253.4285714,53490651.3809524,56890454,56790907.5714286,56347814.1428571,55841557.7142857,56058822.2857143,55142004,55765582.8571429,56281452.5,NA,"1_LPC(16:1)+H | 3_MSDIAL_LPC 16:1-SN1;[M+H]+;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P | 3_MSDIAL_LPC 16:1-SN2;[M+H]+;CCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LFUDDCMNKWEORN-KHPPLWFENA-N;C24H48NO7P","22403145.1 | 21747002.4 | 14377445.4","LPC","[M+H]+","No","LPC(16:1)","[M+H]+"
27,510.356057484945,1.170075,NA,393730201.523809,396923279.238095,382220858.666667,391122611.809524,405027694.857143,425465616.761905,403399628,413247687.619048,417137909.714286,427780358.095238,429189964.952381,426000296.761905,NA,"1_LPC(17:0)+H | 3_MSDIAL_LPC 17:0-SN1;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SRRQPVVYXBTRQK-UHFFFAOYNA-N;C25H52NO7P | 3_MSDIAL_LPC 17:0-SN2;[M+H]+;CCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SRRQPVVYXBTRQK-UHFFFAOYNA-N;C25H52NO7P","125927123.91 | 122478114 | 76398194","LPC","[M+H]+","No","LPC(17:0)","[M+H]+|[M+Na]+"
724,508.339275360107,0.818827777777778,NA,3774038.76190476,3829937.55952381,3622393.35119048,3615291.01190476,3962521.97470238,4212686.875,3905295.62946429,4064001.16666667,4040359.66071429,4313331.07142857,4342001.95833333,4295020.38690476,NA,"1_LPC(17:1)+H | 3_MSDIAL_LPC 17:1-SN1;[M+H]+;CCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LPMGFNAQZPADDZ-QXMHVHEDNA-N;C25H50NO7P | 3_MSDIAL_LPC 17:1-SN2;[M+H]+;CCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;LPMGFNAQZPADDZ-QXMHVHEDNA-N;C25H50NO7P","2269100.292 | 2210791.6 | 1522783.9","LPC","[M+H]+","No","LPC(17:1)","[M+H]+"
14,524.37144724528,1.41522361111111,NA,565474456.380952,617478758.857143,561027470.47619,586297313.52381,599831380.571429,615516957.714286,572809656.380952,616112674.285714,615669276.952381,637552148.571429,616095463.619048,611280761.904762,NA,"1_LPC(18:0)+H | 3_MSDIAL_LPC 18:0-SN1;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;IHNKQIMGVNPMTC-UHFFFAOYNA-N;C26H54NO7P | 3_MSDIAL_LPC 18:0-SN2;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;IHNKQIMGVNPMTC-UHFFFAOYNA-N;C26H54NO7P","272453300.6 | 265115960 | 168339550","LPC","[M+H]+","No","LPC(18:0)","[M+H]+|[M+Na]+"
40,522.355484008789,1.0128875,NA,283865765.333333,283808735.238095,278604049.523809,282270012.190476,285751683.047619,298172578.285714,277106643.809524,282466495.238095,281650873.52381,280568978.285714,292934270.476191,286857462.857143,NA,"1_LPC(18:1)+H | 3_MSDIAL_LPC 18:1-SN1;[M+H]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;YAMUFBLWGFFICM-SEYXRHQNNA-N;C26H52NO7P | 3_MSDIAL_LPC 18:1-SN2;[M+H]+;CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;YAMUFBLWGFFICM-SEYXRHQNNA-N;C26H52NO7P","117998261.73 | 114660146 | 73658196","LPC","[M+H]+","No","LPC(18:1)","[M+H]+"
19,520.340019226074,0.733179166666667,NA,440025076.761905,475859111.619048,467402223.238095,450702051.047619,506064461.333333,492533316.571429,493296756.571429,491285462.095238,479818168.380952,476671177.142857,483249291.809524,502711682.285714,NA,"1_LPC(18:2)+H | 3_MSDIAL_LPC 18:2-SN1;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SPJFYYJXNPEZDW-UTJQPWESNA-N;C26H50NO7P | 3_MSDIAL_LPC 18:2-SN2;[M+H]+;CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C;SPJFYYJXNPEZDW-UTJQPWESNA-N;C26H50NO7P","193299795.7 | 187688548 | 123571778","LPC","[M+H]+","No","LPC(18:2)","[M+H]+"
